lizard,frequency,date,time,time.block,time.class,lat,long,ground,mesohabitat,microhabitat.simple,microhabitat1,microhabitat2,microhabitat3,behavior,observer
i,439,5-Jul,19:45,evening,PM,35.11421,-119.62356,below,open,burrow,burrow,,,standing,taylor
i,439,30-Jun,19:25,evening,PM,35.11422,-119.62356,below,open,burrow,burrow,,,standing,taylor
i,439,22-Jun,9:53,morn,AM,35.11441,-119.62356,below,open,burrow,burrow,,,standing,taylor
i,439,24-Jun,15:24,afternoon,PM,35.11418,-119.62355,below,open,burrow,burrow,,,standing,taylor
i,439,28-Jun,16:21,afternoon,PM,35.11418,-119.62355,below,open,burrow,burrow,,,standing,taylor
i,439,28-Jun,19:49,evening,PM,35.11418,-119.62355,below,open,burrow,burrow,,,standing,taylor
i,439,25-Jun,15:12,afternoon,PM,35.1142,-119.62355,below,open,burrow,burrow,,,standing,taylor
i,439,26-Jun,15:36,afternoon,PM,35.1142,-119.62355,below,open,burrow,burrow,,,standing,taylor
i,439,26-Jun,7:18,early morn,AM,35.1142,-119.62355,below,open,burrow,burrow,,,standing,taylor
i,439,26-Jun,10:02,morn,AM,35.1142,-119.62355,below,open,burrow,burrow,,,standing,taylor
i,439,27-Jun,6:36,early morn,AM,35.1142,-119.62355,below,open,burrow,burrow,,,standing,taylor
i,439,29-Jun,19:21,evening,PM,35.1142,-119.62355,below,open,burrow,burrow,,,standing,taylor
i,439,3-Jul,16:59,afternoon,PM,35.1142,-119.62355,below,open,burrow,burrow,,,standing,taylor
i,439,23-Jun,19:12,evening,PM,35.11422,-119.62355,below,open,burrow,burrow,,,standing,taylor
i,439,15-Jun,19:11,evening,PM,35.11423,-119.62355,below,open,burrow,burrow,,,standing,taylor
u,820,2-Jul,16:15,afternoon,PM,35.11439,-119.62355,above,shrub,wash,washbank,,,interacting,taylor
i,439,30-Jun,16:08,afternoon,PM,35.1142,-119.62354,below,open,burrow,burrow,,,standing,taylor
i,439,2-Jul,19:38,evening,PM,35.11422,-119.62354,below,open,burrow,burrow,,,standing,taylor
i,439,3-Jul,6:14,early morn,AM,35.11422,-119.62354,below,open,burrow,burrow,,,standing,taylor
i,439,22-Jun,16:42,afternoon,PM,35.11441,-119.62354,below,open,burrow,burrow,,,standing,taylor
i,439,22-Jun,19:46,evening,PM,35.11441,-119.62354,below,open,burrow,burrow,,,standing,taylor
i,439,21-Jun,14:51,afternoon,PM,35.11444,-119.62354,below,open,burrow,burrow,,,standing,taylor
a,0,22-Jun,16:52,afternoon,PM,35.11688,-119.62354,below,shrub,burrow,burrow,undershrub,,standing,taylor
i,439,27-Jun,15:45,afternoon,PM,35.11414,-119.6235,below,open,burrow,burrow,,,standing,taylor
i,439,27-Jun,9:31,morn,AM,35.11414,-119.6235,below,open,burrow,burrow,,,standing,taylor
u,820,21-Jun,14:48,afternoon,PM,35.11435,-119.6235,above,open,burrow,burrow,wash,,cooling,taylor
u,820,27-Jun,9:28,morn,AM,35.11435,-119.6235,above,open,wash,wash,,,hunting,taylor
i,439,2-Jul,16:15,afternoon,PM,35.11435,-119.6235,above,open,wash,washbank,,,interacting,taylor
i,439,15-Jun,16:25,afternoon,PM,35.11406,-119.62347,below,open,burrow,burrow,,,standing,taylor
i,439,4-Jul,9:48,morn,AM,35.11425,-119.62347,above,open,bare,rock,,,sunning,taylor
a,0,23-Jun,19:30,evening,PM,35.117,-119.62346,below,shrub,burrow,burrow,undershrub,,standing,taylor
i,439,23-Jun,16:08,afternoon,PM,35.11434,-119.62344,above,shrub,shrub,undershrub,washbank,,standing,taylor
a,0,24-Jun,5:22,early morn,AM,35.117,-119.62342,below,open,burrow,burrow,roadbank,,standing,taylor
a,0,25-Jun,5:23,early morn,AM,35.11699,-119.62341,below,open,burrow,burrow,,,standing,taylor
u,820,29-Jun,15:59,afternoon,PM,35.11427,-119.62338,above,shrub,wash,washbank,,,cooling,taylor
a,0,24-Jun,14:16,afternoon,PM,35.11655,-119.62337,above,shrub,burrow,burrow,undershrub,washbank,cooling,taylor
a,0,26-Jun,10:15,morn,AM,35.11706,-119.62337,below,open,burrow,burrow,,,standing,taylor
a,0,28-Jun,9:21,morn,AM,35.11705,-119.62336,below,open,burrow,burrow,,,standing,taylor
u,820,29-Jun,10:02,morn,AM,35.11427,-119.62334,above,shrub,burrow,burrow,undershrub,washbank,cooling,taylor
a,0,18-Jun,18:43,evening,PM,35.11705,-119.62334,below,open,burrow,burrow,,,standing,taylor
a,0,18-Jun,14:49,afternoon,PM,35.11706,-119.62334,below,open,burrow,burrow,,,standing,taylor
a,0,18-Jun,11:50,morn,AM,35.11706,-119.62334,below,open,burrow,burrow,,,standing,taylor
a,0,21-Jun,5:18,early morn,AM,35.11708,-119.62334,below,open,burrow,burrow,,,standing,taylor
a,0,4-Jul,20:40,evening,PM,35.1171,-119.62334,below,open,burrow,burrow,,,standing,taylor
a,0,1-Jul,6:13,early morn,AM,35.11704,-119.62333,below,open,burrow,burrow,,,standing,taylor
a,0,28-Jun,20:00,evening,PM,35.11705,-119.62333,below,open,burrow,burrow,,,standing,taylor
a,0,3-Jul,6:25,early morn,AM,35.11705,-119.62333,below,open,burrow,burrow,,,standing,taylor
a,0,28-Jun,16:33,afternoon,PM,35.11705,-119.62333,below,open ,burrow,burrow,,,standing,taylor
a,0,2-Jul,10:38,morn,AM,35.11706,-119.62333,above,open,burrow,burrow,,,sunning,taylor
a,0,2-Jul,16:32,afternoon,PM,35.11708,-119.62333,below,open,burrow,burrow,,,standing,taylor
a,0,2-Jul,19:48,evening,PM,35.11708,-119.62332,below,open,burrow,burrow,,,standing,taylor
